,Name,Nickname,Club,Preferred Positions,Overall,Count_tweet,Post_Match_Ratings,Velocity,Attack,Defense,Passing,Movement,Physicality
0,T. Lemar,@Lemar27official,AS Monaco,LM ,83,0,,85.0,74.33333333333333,62.75,79.6,83.8,70.75
1,O. Dembele,@Dembouz,FC Barcelona,CAM LW RW ,83,18,,91.0,70.44444444444444,32.0,76.2,86.8,58.5
2,N. Kante,@nglkante,Chelsea,CM CDM ,87,77,5.5,81.0,63.44444444444444,85.0,71.0,83.2,85.0
3,A. Griezmann,@AntoGriezmann,Atlético Madrid,LW RW ST ,88,1440,7.5,86.5,82.33333333333333,22.75,79.2,86.6,73.25
4,B. Matuidi,@MATUIDIBlaise,Juventus,CM CDM ,85,317,6,78.5,67.55555555555556,83.25,75.6,77.8,85.25
5,B. Pavard,@BenPavard28,VfB Stuttgart,LB CB RB ,72,17,5.5,71.0,50.333333333333336,74.0,62.6,67.2,70.0
6,N. Fekir,@NabilFekir,Olympique Lyonnais,ST CAM ,82,24,s.v,79.5,74.77777777777777,28.75,76.6,84.6,70.5
7,F. Thauvin,@FlorianThauvin,Olympique de Marseille,RM RW ,82,21,,82.5,71.55555555555556,33.0,79.2,80.8,63.25
8,L. Hernandez,@LucasHernandez,Atlético Madrid,LB CB ,77,27,6.5,65.0,44.77777777777778,77.75,50.6,61.2,73.25
9,P. Kimpembe,@PKimpembe,Paris Saint-Germain,CB ,77,0,,69.0,43.22222222222222,78.5,48.0,66.0,73.25
10,K. Mbappe,@KMbappe,Paris Saint-Germain,ST ,83,251,7.5,89.5,74.55555555555556,43.5,73.6,81.2,72.5
11,R. Varane,@raphaelvarane,Real Madrid CF,CB ,85,1269,7,79.0,54.77777777777778,84.25,57.8,64.0,77.5
12,D. Sidibe,@DjibrilSidibeS3,AS Monaco,LB RB ,79,4,,80.0,64.66666666666667,77.0,74.2,72.4,81.0
13,H. Lloris,@H_Lloris,Tottenham Hotspur,GK ,88,4,5,64.0,21.0,16.75,30.8,47.6,47.25
14,C. Tolisso,@CorentinTolisso,FC Bayern Munich,CDM CM ,82,34,6,74.0,75.0,74.25,75.8,77.8,84.25
15,S. Umtiti,@samumtiti,FC Barcelona,CB ,83,1268,6,73.5,67.33333333333333,83.5,70.2,71.0,81.0
16,B. Mendy,@benmendy23,Manchester City,LWB LB ,78,48,,81.5,50.77777777777778,75.75,72.2,73.4,76.75
17,P. Pogba,@paulpogba,Manchester United,CDM CM ,87,1749,7.5,74.0,80.77777777777777,67.0,84.4,79.2,85.5
18,S. Nzonzi,@iamnzonzi15,Sevilla FC,CM CDM ,83,21,6.5,56.5,66.33333333333333,80.25,73.8,62.0,84.75
19,S. Mandanda,@SteveMandanda,Olympique de Marseille,GK ,82,7,,48.0,19.0,15.25,29.4,39.8,50.75
20,A. Rami,@Adil_Rami1,Olympique de Marseille,CB ,81,0,,53.0,57.111111111111114,80.5,45.4,59.8,78.25
21,O. Giroud,@_OlivierGiroud_,Arsenal,ST ,82,42,5.5,53.0,80.11111111111111,31.0,68.4,69.4,80.5
22,A. Areola,@AreolaOfficiel,Paris Saint-Germain,GK ,79,37,,53.0,20.11111111111111,18.0,28.6,44.2,48.25
